Transaction_ID,Fecha_Compra,Producto,Categoría,Precio_Unitario,Cantidad_Vendida,Total_Venta,Método_Pago,Ciudad_Cliente,País_Cliente,Descuento_Aplicado,Costo_Envio,Tiempo_Entrega_Estimado,Tiempo_Entrega_Real,Satisfacción_Cliente,Tipo_Cliente,Valoración_Producto,Frecuencia_Compra,Rentabilidad
90,2023-01-04 17:00:00,Smartphone,Accesorios,14935,1,14935,Efectivo,Tucumán,Argentina,17,953.5983415531899,8,6,3,VIP,5,Baja,5020.40165844681
91,2023-01-04 18:00:00,Mouse,Computación,25421,8,203368,Transferencia Bancaria,Salta,Argentina,24,1771.4493011375073,13,13,5,Nuevo,2,Alta,79575.75069886251
92,2023-01-04 19:00:00,Auriculares,Electrónica,21937,8,175496,Tarjeta de Crédito,La Plata,Argentina,30,790.952139917702,14,16,4,Recurrente,3,Alta,69407.4478600823
93,2023-01-04 20:00:00,Smartphone,Computación,28740,7,201180,Tarjeta de Crédito,Neuquén,Argentina,11,2104.186837969,10,14,4,VIP,5,Alta,78367.813162031
94,2023-01-04 21:00:00,Impresora,Electrónica,3479,7,24353,Tarjeta de Crédito,Tucumán,Argentina,4,139.4517109780062,9,13,2,Recurrente,4,Alta,9601.748289021994
95,2023-01-04 22:00:00,Impresora,Electrónica,9011,6,54066,Transferencia Bancaria,Tucumán,Argentina,27,290.08386714871455,14,16,3,Recurrente,3,Alta,21336.316132851287
96,2023-01-04 23:00:00,Impresora,Accesorios,11786,5,58930,Efectivo,Mendoza,Argentina,9,929.3810433882842,9,13,1,VIP,4,Media,22642.618956611717
97,2023-01-05 00:00:00,Smartphone,Computación,19953,8,159624,Tarjeta de Crédito,La Plata,Argentina,11,517.5520158223139,9,12,3,Nuevo,5,Alta,63332.04798417769
98,2023-01-05 01:00:00,Auriculares,Accesorios,3631,2,7262,Transferencia Bancaria,La Plata,Argentina,18,124.63858944914733,6,5,4,Recurrente,4,Baja,2780.161410550853
99,2023-01-05 02:00:00,Impresora,Computación,18553,6,111318,PayPal,Rosario,Argentina,27,618.3681771475192,6,4,5,Recurrente,4,Alta,43908.83182285248
100,2023-01-05 03:00:00,Monitor,Electrónica,21231,2,42462,Efectivo,Mendoza,Argentina,8,617.2745458155865,10,14,4,Nuevo,4,Baja,16367.525454184413
101,2023-01-05 04:00:00,Teclado,Accesorios,14357,9,129213,Transferencia Bancaria,La Plata,Argentina,28,560.3616983488125,9,8,3,Nuevo,4,Alta,51124.83830165119
102,2023-01-05 05:00:00,Smartphone,Accesorios,6915,1,6915,Efectivo,Neuquén,Argentina,15,514.9158187711881,13,16,1,VIP,4,Baja,2251.0841812288118
103,2023-01-05 06:00:00,Smartphone,Electrónica,17486,1,17486,PayPal,Tucumán,Argentina,19,1159.7383041737,12,16,5,VIP,5,Baja,5834.661695826299
104,2023-01-05 07:00:00,Auriculares,Electrónica,6920,5,34600,Transferencia Bancaria,Córdoba,Argentina,18,416.99015448828663,12,11,4,Nuevo,2,Media,13423.009845511713
105,2023-01-05 08:00:00,Smartphone,Electrónica,14496,7,101472,Efectivo,Córdoba,Argentina,19,581.4698280945092,5,8,1,Recurrente,1,Alta,40007.330171905494
106,2023-01-05 09:00:00,Smartphone,Accesorios,15871,7,111097,Transferencia Bancaria,Mendoza,Argentina,13,492.2849419493709,12,13,4,Nuevo,3,Alta,43946.51505805063
107,2023-01-05 10:00:00,Impresora,Computación,25345,6,152070,Tarjeta de Crédito,Rosario,Argentina,26,564.3648451727802,12,10,1,VIP,3,Alta,60263.63515482722
108,2023-01-05 11:00:00,Auriculares,Accesorios,4685,2,9370,Efectivo,Rosario,Argentina,16,202.46275517509133,14,17,2,Recurrente,4,Baja,3545.5372448249086
109,2023-01-05 12:00:00,Impresora,Computación,8867,2,17734,Transferencia Bancaria,La Plata,Argentina,9,596.1729209050475,10,13,4,Recurrente,4,Baja,6497.427079094953
110,2023-01-05 13:00:00,Teclado,Accesorios,22030,3,66090,Tarjeta de Crédito,Neuquén,Argentina,17,1295.336578798621,7,8,4,VIP,2,Media,25140.663421201378
111,2023-01-05 14:00:00,Mouse,Accesorios,8464,8,67712,PayPal,Salta,Argentina,21,276.0174447298976,4,6,3,Recurrente,5,Alta,26808.782555270107
112,2023-01-05 15:00:00,Teclado,Electrónica,13889,7,97223,Efectivo,Mendoza,Argentina,27,632.898929719812,9,10,3,Nuevo,4,Alta,38256.30107028019
113,2023-01-05 16:00:00,Mouse,Computación,25504,6,153024,Efectivo,Salta,Argentina,7,1415.160334171773,9,10,1,VIP,3,Alta,59794.439665828235
114,2023-01-05 17:00:00,Impresora,Accesorios,20072,7,140504,PayPal,Córdoba,Argentina,29,1114.0711239762416,12,14,1,Recurrente,5,Alta,55087.52887602377
115,2023-01-05 18:00:00,Teclado,Accesorios,21416,6,128496,Tarjeta de Crédito,Tucumán,Argentina,19,1287.4260914446502,14,14,1,VIP,5,Alta,50110.97390855536
116,2023-01-05 19:00:00,Auriculares,Electrónica,5995,9,53955,PayPal,La Plata,Argentina,29,230.00126260367765,11,10,2,Recurrente,4,Alta,21351.998737396323
117,2023-01-05 20:00:00,Laptop,Electrónica,22454,7,157178,Efectivo,Tucumán,Argentina,2,1570.7644969997536,14,12,4,Nuevo,3,Alta,61300.43550300024
118,2023-01-05 21:00:00,Impresora,Computación,7280,6,43680,Transferencia Bancaria,Salta,Argentina,13,417.34595142528246,4,6,3,VIP,3,Alta,17054.654048574717
119,2023-01-05 22:00:00,Mouse,Accesorios,21992,9,197928,Tarjeta de Crédito,La Plata,Argentina,16,1438.2762377205459,6,10,1,Recurrente,4,Alta,77732.92376227946
120,2023-01-05 23:00:00,Monitor,Computación,5343,3,16029,Tarjeta de Crédito,Buenos Aires,Argentina,28,191.1661828847895,11,11,4,Nuevo,4,Media,6220.433817115211
121,2023-01-06 00:00:00,Mouse,Accesorios,12957,8,103656,Tarjeta de Crédito,Tucumán,Argentina,9,819.1050750810969,12,14,4,Nuevo,3,Alta,40643.294924918904
122,2023-01-06 01:00:00,Monitor,Computación,22971,1,22971,PayPal,Mendoza,Argentina,20,1475.987792662267,13,11,3,Nuevo,4,Baja,7712.412207337733
123,2023-01-06 02:00:00,Smartphone,Electrónica,7319,4,29276,PayPal,Tucumán,Argentina,22,424.2405700408747,12,14,5,Recurrente,3,Media,11286.159429959127
124,2023-01-06 03:00:00,Teclado,Accesorios,10051,7,70357,Transferencia Bancaria,Tucumán,Argentina,30,657.8233699263296,12,12,5,Recurrente,1,Alta,27484.976630073674
125,2023-01-06 04:00:00,Monitor,Computación,6613,9,59517,Transferencia Bancaria,La Plata,Argentina,0,393.61422297769633,14,18,4,Nuevo,4,Alta,23413.185777022307
126,2023-01-06 05:00:00,Mouse,Electrónica,17989,6,107934,Tarjeta de Crédito,Córdoba,Argentina,5,934.4466840463492,3,5,5,Nuevo,3,Alta,42239.153315953656
127,2023-01-06 06:00:00,Smartphone,Electrónica,5563,3,16689,Transferencia Bancaria,Salta,Argentina,23,167.5037018312761,3,2,3,Nuevo,3,Media,6508.096298168724
128,2023-01-06 07:00:00,Laptop,Computación,19399,1,19399,PayPal,Buenos Aires,Argentina,3,390.04993653889744,4,5,2,Nuevo,3,Baja,7369.550063461103
129,2023-01-06 08:00:00,Auriculares,Accesorios,5310,5,26550,Transferencia Bancaria,Tucumán,Argentina,18,266.63581624395664,6,7,4,Nuevo,4,Media,10353.364183756043
130,2023-01-06 09:00:00,Auriculares,Accesorios,7409,7,51863,PayPal,Neuquén,Argentina,10,231.4533415321269,13,17,4,Recurrente,3,Alta,20513.746658467873
131,2023-01-06 10:00:00,Auriculares,Electrónica,7710,9,69390,Transferencia Bancaria,Salta,Argentina,11,155.53411132939212,4,5,5,VIP,3,Alta,27600.46588867061
132,2023-01-06 11:00:00,Monitor,Accesorios,22876,5,114380,Efectivo,Neuquén,Argentina,23,976.9214750331956,10,12,5,VIP,2,Media,44775.078524966804
133,2023-01-06 12:00:00,Laptop,Accesorios,3228,6,19368,PayPal,Salta,Argentina,28,117.31832178982506,8,6,2,VIP,5,Alta,7629.881678210176
134,2023-01-06 13:00:00,Monitor,Accesorios,21254,1,21254,Efectivo,Neuquén,Argentina,4,1339.8474253546567,4,8,2,Recurrente,2,Baja,7161.752574645344
135,2023-01-06 14:00:00,Teclado,Electrónica,22470,8,179760,PayPal,Córdoba,Argentina,10,1769.621775277924,9,7,5,VIP,4,Alta,70134.37822472208
136,2023-01-06 15:00:00,Monitor,Computación,21425,3,64275,Transferencia Bancaria,Rosario,Argentina,21,1705.8677794024939,7,7,2,VIP,3,Media,24004.132220597505
137,2023-01-06 16:00:00,Laptop,Accesorios,17073,7,119511,Efectivo,Buenos Aires,Argentina,22,539.4388081501642,8,10,2,VIP,4,Alta,47264.96119184984
138,2023-01-06 17:00:00,Laptop,Electrónica,6253,8,50024,Transferencia Bancaria,Buenos Aires,Argentina,27,497.5944508801292,14,15,4,VIP,3,Alta,19512.005549119873
139,2023-01-06 18:00:00,Teclado,Electrónica,24105,5,120525,PayPal,Neuquén,Argentina,14,1917.7806753897962,13,15,4,Nuevo,3,Media,46292.2193246102
140,2023-01-06 19:00:00,Laptop,Computación,28967,9,260703,Efectivo,Neuquén,Argentina,14,1211.349472937426,11,11,5,Recurrente,5,Alta,103069.85052706259
141,2023-01-06 20:00:00,Mouse,Accesorios,23883,8,191064,Tarjeta de Crédito,Neuquén,Argentina,17,709.1884952263973,9,11,1,VIP,3,Alta,75716.41150477361
142,2023-01-06 21:00:00,Laptop,Accesorios,7636,6,45816,Transferencia Bancaria,Salta,Argentina,13,362.69591317772074,8,8,1,Nuevo,2,Alta,17963.70408682228
143,2023-01-06 22:00:00,Auriculares,Computación,19569,6,117414,PayPal,La Plata,Argentina,0,1117.1913471167184,12,16,3,VIP,4,Alta,45848.408652883285
144,2023-01-06 23:00:00,Mouse,Computación,10864,6,65184,Efectivo,Tucumán,Argentina,17,393.72055186120934,5,5,1,VIP,4,Alta,25679.87944813879
145,2023-01-07 00:00:00,Mouse,Electrónica,9232,7,64624,Transferencia Bancaria,Rosario,Argentina,3,728.13935471626,9,8,3,VIP,5,Alta,25121.46064528374
146,2023-01-07 01:00:00,Teclado,Electrónica,13958,7,97706,Efectivo,Neuquén,Argentina,14,946.615530491702,3,1,4,VIP,4,Alta,38135.7844695083
147,2023-01-07 02:00:00,Tablet,Computación,5007,6,30042,Transferencia Bancaria,La Plata,Argentina,2,101.86382586763605,6,8,3,VIP,5,Alta,11914.936174132363
148,2023-01-07 03:00:00,Tablet,Accesorios,9122,9,82098,Transferencia Bancaria,Mendoza,Argentina,22,242.98753566379696,4,8,5,Nuevo,3,Alta,32596.212464336208
149,2023-01-07 04:00:00,Laptop,Electrónica,23479,1,23479,Transferencia Bancaria,Córdoba,Argentina,4,1639.6531181684882,7,6,4,VIP,5,Baja,7751.946881831513
150,2023-01-07 05:00:00,Mouse,Electrónica,3044,8,24352,Efectivo,Córdoba,Argentina,6,226.35618808090248,12,11,2,Nuevo,3,Alta,9514.443811919098
151,2023-01-07 06:00:00,Tablet,Accesorios,24711,1,24711,Efectivo,La Plata,Argentina,7,769.3361346901988,10,9,4,VIP,4,Baja,9115.063865309803
152,2023-01-07 07:00:00,Tablet,Electrónica,20603,6,123618,Transferencia Bancaria,Salta,Argentina,27,1404.809566979268,7,7,1,Recurrente,5,Alta,48042.39043302073
153,2023-01-07 08:00:00,Laptop,Accesorios,9619,5,48095,Tarjeta de Crédito,Córdoba,Argentina,5,504.88356373873904,12,15,2,Nuevo,3,Media,18733.11643626126
154,2023-01-07 09:00:00,Tablet,Accesorios,21411,7,149877,Tarjeta de Crédito,Tucumán,Argentina,22,1466.4304358601032,13,11,4,VIP,5,Alta,58484.3695641399
155,2023-01-07 10:00:00,Monitor,Accesorios,4369,8,34952,Tarjeta de Crédito,Córdoba,Argentina,19,175.95525156064815,14,16,3,Nuevo,3,Alta,13804.844748439351
