Transaction_ID,Fecha_Compra,Producto,Categoría,Precio_Unitario,Cantidad_Vendida,Total_Venta,Método_Pago,Ciudad_Cliente,País_Cliente,Descuento_Aplicado,Costo_Envio,Tiempo_Entrega_Estimado,Tiempo_Entrega_Real,Satisfacción_Cliente,Tipo_Cliente,Valoración_Producto
83,2023-01-04 10:00:00,Monitor,Computación,4016,1,4016,Efectivo,Córdoba,Argentina,23,48,5,6,4,Recurrente,1
84,2023-01-04 11:00:00,Mouse,Accesorios,2155,2,4310,Efectivo,Salta,Argentina,3,99,10,18,3,Nuevo,2
85,2023-01-04 12:00:00,Teclado,Electrónica,178,3,534,Efectivo,Rosario,Argentina,23,78,10,14,2,VIP,3
86,2023-01-04 13:00:00,Tablet,Electrónica,4851,9,43659,Tarjeta de Crédito,Rosario,Argentina,28,58,2,18,4,VIP,1
87,2023-01-04 14:00:00,Impresora,Accesorios,4046,8,32368,Efectivo,Rosario,Argentina,27,55,4,2,4,Nuevo,1
88,2023-01-04 15:00:00,Laptop,Accesorios,901,7,6307,Efectivo,Mendoza,Argentina,28,56,14,18,5,VIP,5
89,2023-01-04 16:00:00,Auriculares,Accesorios,4153,4,16612,PayPal,Mendoza,Argentina,25,74,13,4,5,Nuevo,4
90,2023-01-04 17:00:00,Smartphone,Accesorios,2126,1,2126,Efectivo,Tucumán,Argentina,15,96,5,15,4,VIP,4
91,2023-01-04 18:00:00,Mouse,Computación,3044,8,24352,Transferencia Bancaria,Salta,Argentina,22,96,3,13,5,Nuevo,2
92,2023-01-04 19:00:00,Auriculares,Electrónica,3794,4,15176,Tarjeta de Crédito,La Plata,Argentina,26,63,8,16,3,Recurrente,2
93,2023-01-04 20:00:00,Smartphone,Computación,2806,3,8418,Tarjeta de Crédito,Neuquén,Argentina,30,17,4,7,2,VIP,2
94,2023-01-04 21:00:00,Impresora,Electrónica,1694,9,15246,Tarjeta de Crédito,Tucumán,Argentina,10,45,2,3,2,Recurrente,5
95,2023-01-04 22:00:00,Impresora,Electrónica,4421,4,17684,Transferencia Bancaria,Tucumán,Argentina,6,16,2,5,2,Recurrente,1
96,2023-01-04 23:00:00,Impresora,Accesorios,3194,4,12776,Efectivo,Mendoza,Argentina,16,54,4,14,4,VIP,2
97,2023-01-05 00:00:00,Smartphone,Computación,292,9,2628,Tarjeta de Crédito,La Plata,Argentina,21,61,7,14,4,Nuevo,5
98,2023-01-05 01:00:00,Auriculares,Accesorios,4135,2,8270,Transferencia Bancaria,La Plata,Argentina,12,54,5,18,4,Recurrente,3
99,2023-01-05 02:00:00,Impresora,Computación,220,5,1100,PayPal,Rosario,Argentina,3,61,2,7,3,Recurrente,1
100,2023-01-05 03:00:00,Monitor,Electrónica,702,4,2808,Efectivo,Mendoza,Argentina,13,58,8,12,2,Nuevo,3
101,2023-01-05 04:00:00,Teclado,Accesorios,3562,9,32058,Transferencia Bancaria,La Plata,Argentina,9,70,3,17,5,Nuevo,4
102,2023-01-05 05:00:00,Smartphone,Accesorios,1549,5,7745,Efectivo,Neuquén,Argentina,9,12,13,9,5,VIP,4
103,2023-01-05 06:00:00,Smartphone,Electrónica,2149,9,19341,PayPal,Tucumán,Argentina,9,67,6,2,1,VIP,1
104,2023-01-05 07:00:00,Auriculares,Electrónica,2208,9,19872,Transferencia Bancaria,Córdoba,Argentina,26,13,9,11,1,Nuevo,2
105,2023-01-05 08:00:00,Smartphone,Electrónica,2022,2,4044,Efectivo,Córdoba,Argentina,11,64,8,3,5,Recurrente,1
106,2023-01-05 09:00:00,Smartphone,Accesorios,3975,9,35775,Transferencia Bancaria,Mendoza,Argentina,1,67,12,15,2,Nuevo,2
107,2023-01-05 10:00:00,Impresora,Computación,2308,3,6924,Tarjeta de Crédito,Rosario,Argentina,25,76,13,4,4,VIP,4
108,2023-01-05 11:00:00,Auriculares,Accesorios,4089,4,16356,Efectivo,Rosario,Argentina,22,7,9,10,5,Recurrente,1
109,2023-01-05 12:00:00,Impresora,Computación,2085,1,2085,Transferencia Bancaria,La Plata,Argentina,8,77,14,9,5,Recurrente,1
110,2023-01-05 13:00:00,Teclado,Accesorios,3321,1,3321,Tarjeta de Crédito,Neuquén,Argentina,28,17,11,12,1,VIP,2
111,2023-01-05 14:00:00,Mouse,Accesorios,907,1,907,PayPal,Salta,Argentina,4,13,12,16,2,Recurrente,4
112,2023-01-05 15:00:00,Teclado,Electrónica,3873,9,34857,Efectivo,Mendoza,Argentina,7,99,7,7,5,Nuevo,4
113,2023-01-05 16:00:00,Mouse,Computación,1099,8,8792,Efectivo,Salta,Argentina,20,93,8,3,4,VIP,2
114,2023-01-05 17:00:00,Impresora,Accesorios,4040,5,20200,PayPal,Córdoba,Argentina,13,56,10,2,4,Recurrente,2
115,2023-01-05 18:00:00,Teclado,Accesorios,348,5,1740,Tarjeta de Crédito,Tucumán,Argentina,6,66,7,4,3,VIP,2
116,2023-01-05 19:00:00,Auriculares,Electrónica,973,9,8757,PayPal,La Plata,Argentina,6,12,10,19,4,Recurrente,4
117,2023-01-05 20:00:00,Laptop,Electrónica,4282,3,12846,Efectivo,Tucumán,Argentina,8,99,14,15,5,Nuevo,4
118,2023-01-05 21:00:00,Impresora,Computación,4356,3,13068,Transferencia Bancaria,Salta,Argentina,2,49,13,18,5,VIP,1
119,2023-01-05 22:00:00,Mouse,Accesorios,2849,7,19943,Tarjeta de Crédito,La Plata,Argentina,13,57,3,3,4,Recurrente,4
120,2023-01-05 23:00:00,Monitor,Computación,4925,9,44325,Tarjeta de Crédito,Buenos Aires,Argentina,16,67,14,10,1,Nuevo,3
121,2023-01-06 00:00:00,Mouse,Accesorios,4112,6,24672,Tarjeta de Crédito,Tucumán,Argentina,17,99,3,9,2,Nuevo,3
122,2023-01-06 01:00:00,Monitor,Computación,4095,2,8190,PayPal,Mendoza,Argentina,11,85,3,11,5,Nuevo,2
123,2023-01-06 02:00:00,Smartphone,Electrónica,1852,1,1852,PayPal,Tucumán,Argentina,21,61,7,10,4,Recurrente,2
124,2023-01-06 03:00:00,Teclado,Accesorios,2763,2,5526,Transferencia Bancaria,Tucumán,Argentina,13,58,3,9,4,Recurrente,2
125,2023-01-06 04:00:00,Monitor,Computación,4556,1,4556,Transferencia Bancaria,La Plata,Argentina,25,23,4,8,5,Nuevo,1
126,2023-01-06 05:00:00,Mouse,Electrónica,2903,9,26127,Tarjeta de Crédito,Córdoba,Argentina,25,71,14,7,3,Nuevo,3
127,2023-01-06 06:00:00,Smartphone,Electrónica,2707,8,21656,Transferencia Bancaria,Salta,Argentina,27,50,9,3,2,Nuevo,3
128,2023-01-06 07:00:00,Laptop,Computación,4572,7,32004,PayPal,Buenos Aires,Argentina,12,98,9,10,5,Nuevo,4
129,2023-01-06 08:00:00,Auriculares,Accesorios,3396,3,10188,Transferencia Bancaria,Tucumán,Argentina,13,14,12,10,4,Nuevo,3
130,2023-01-06 09:00:00,Auriculares,Accesorios,1521,8,12168,PayPal,Neuquén,Argentina,8,97,13,10,3,Recurrente,4
131,2023-01-06 10:00:00,Auriculares,Electrónica,2999,2,5998,Transferencia Bancaria,Salta,Argentina,18,22,5,3,5,VIP,1
132,2023-01-06 11:00:00,Monitor,Accesorios,991,2,1982,Efectivo,Neuquén,Argentina,25,16,10,17,2,VIP,2
133,2023-01-06 12:00:00,Laptop,Accesorios,1957,3,5871,PayPal,Salta,Argentina,1,53,9,15,3,VIP,2
134,2023-01-06 13:00:00,Monitor,Accesorios,4887,7,34209,Efectivo,Neuquén,Argentina,10,27,2,2,4,Recurrente,4
135,2023-01-06 14:00:00,Teclado,Electrónica,1293,1,1293,PayPal,Córdoba,Argentina,16,66,9,14,1,VIP,5
136,2023-01-06 15:00:00,Monitor,Computación,4473,8,35784,Transferencia Bancaria,Rosario,Argentina,1,15,2,3,2,VIP,4
137,2023-01-06 16:00:00,Laptop,Accesorios,1516,7,10612,Efectivo,Buenos Aires,Argentina,18,77,5,15,3,VIP,1
138,2023-01-06 17:00:00,Laptop,Electrónica,4007,4,16028,Transferencia Bancaria,Buenos Aires,Argentina,6,60,11,2,5,VIP,3
139,2023-01-06 18:00:00,Teclado,Electrónica,2016,5,10080,PayPal,Neuquén,Argentina,17,92,7,16,5,Nuevo,4
140,2023-01-06 19:00:00,Laptop,Computación,425,1,425,Efectivo,Neuquén,Argentina,12,93,8,19,3,Recurrente,1
141,2023-01-06 20:00:00,Mouse,Accesorios,312,4,1248,Tarjeta de Crédito,Neuquén,Argentina,4,59,11,10,5,VIP,2
142,2023-01-06 21:00:00,Laptop,Accesorios,4412,1,4412,Transferencia Bancaria,Salta,Argentina,17,29,14,9,3,Nuevo,5
143,2023-01-06 22:00:00,Auriculares,Computación,3438,1,3438,PayPal,La Plata,Argentina,22,13,5,8,2,VIP,5
144,2023-01-06 23:00:00,Mouse,Computación,3445,1,3445,Efectivo,Tucumán,Argentina,25,16,9,10,5,VIP,4
145,2023-01-07 00:00:00,Mouse,Electrónica,1994,7,13958,Transferencia Bancaria,Rosario,Argentina,23,15,9,10,2,VIP,3
146,2023-01-07 01:00:00,Teclado,Electrónica,1943,7,13601,Efectivo,Neuquén,Argentina,23,42,10,12,4,VIP,4
147,2023-01-07 02:00:00,Tablet,Computación,3684,4,14736,Transferencia Bancaria,La Plata,Argentina,28,32,7,5,4,VIP,5
148,2023-01-07 03:00:00,Tablet,Accesorios,1702,2,3404,Transferencia Bancaria,Mendoza,Argentina,15,12,5,8,4,Nuevo,5
149,2023-01-07 04:00:00,Laptop,Electrónica,4191,3,12573,Transferencia Bancaria,Córdoba,Argentina,14,78,3,8,4,VIP,2
150,2023-01-07 05:00:00,Mouse,Electrónica,3942,8,31536,Efectivo,Córdoba,Argentina,7,93,8,5,5,Nuevo,3
151,2023-01-07 06:00:00,Tablet,Accesorios,649,8,5192,Efectivo,La Plata,Argentina,25,51,11,13,3,VIP,3
152,2023-01-07 07:00:00,Tablet,Electrónica,4865,6,29190,Transferencia Bancaria,Salta,Argentina,14,40,4,18,5,Recurrente,5
153,2023-01-07 08:00:00,Laptop,Accesorios,1962,9,17658,Tarjeta de Crédito,Córdoba,Argentina,24,54,12,4,5,Nuevo,5
154,2023-01-07 09:00:00,Tablet,Accesorios,1342,9,12078,Tarjeta de Crédito,Tucumán,Argentina,0,13,14,10,2,VIP,4
155,2023-01-07 10:00:00,Monitor,Accesorios,650,4,2600,Tarjeta de Crédito,Córdoba,Argentina,27,64,13,6,3,Nuevo,4
156,2023-01-07 11:00:00,Smartphone,Computación,430,1,430,PayPal,Tucumán,Argentina,16,76,4,17,1,VIP,2
157,2023-01-07 12:00:00,Teclado,Computación,4263,1,4263,Tarjeta de Crédito,Mendoza,Argentina,29,71,4,9,1,VIP,5
158,2023-01-07 13:00:00,Smartphone,Computación,3687,5,18435,Efectivo,Neuquén,Argentina,14,57,5,17,3,Nuevo,4
159,2023-01-07 14:00:00,Laptop,Accesorios,2213,2,4426,Tarjeta de Crédito,Rosario,Argentina,13,86,3,17,1,VIP,2
160,2023-01-07 15:00:00,Auriculares,Accesorios,4405,6,26430,Efectivo,Buenos Aires,Argentina,13,21,14,19,3,VIP,3
161,2023-01-07 16:00:00,Teclado,Computación,1148,7,8036,PayPal,La Plata,Argentina,9,57,14,16,2,VIP,5
162,2023-01-07 17:00:00,Laptop,Electrónica,415,1,415,Efectivo,La Plata,Argentina,1,32,6,19,2,VIP,1
163,2023-01-07 18:00:00,Mouse,Accesorios,2620,6,15720,Efectivo,Tucumán,Argentina,26,67,4,15,5,VIP,5
164,2023-01-07 19:00:00,Auriculares,Electrónica,3469,8,27752,Efectivo,Mendoza,Argentina,30,19,11,17,1,VIP,4
165,2023-01-07 20:00:00,Smartphone,Electrónica,2526,5,12630,Tarjeta de Crédito,Mendoza,Argentina,5,23,6,6,3,Nuevo,5
166,2023-01-07 21:00:00,Laptop,Accesorios,840,7,5880,Transferencia Bancaria,Salta,Argentina,29,90,13,9,2,Recurrente,1
167,2023-01-07 22:00:00,Mouse,Accesorios,3619,6,21714,Efectivo,Buenos Aires,Argentina,16,74,14,17,5,VIP,5
168,2023-01-07 23:00:00,Teclado,Electrónica,796,4,3184,Tarjeta de Crédito,Neuquén,Argentina,4,51,8,2,1,Nuevo,4
169,2023-01-08 00:00:00,Teclado,Electrónica,362,7,2534,Tarjeta de Crédito,Rosario,Argentina,30,75,10,12,1,Recurrente,3
170,2023-01-08 01:00:00,Impresora,Computación,4683,9,42147,Tarjeta de Crédito,La Plata,Argentina,4,52,3,12,1,Nuevo,4
171,2023-01-08 02:00:00,Mouse,Computación,970,7,6790,Transferencia Bancaria,Tucumán,Argentina,14,77,10,3,2,Recurrente,2
172,2023-01-08 03:00:00,Monitor,Accesorios,1127,5,5635,Transferencia Bancaria,Mendoza,Argentina,14,24,11,6,2,Recurrente,4
173,2023-01-08 04:00:00,Tablet,Computación,2879,7,20153,Transferencia Bancaria,Neuquén,Argentina,19,41,7,4,1,Recurrente,2
174,2023-01-08 05:00:00,Auriculares,Computación,2431,3,7293,Transferencia Bancaria,La Plata,Argentina,10,79,13,9,2,Nuevo,5
175,2023-01-08 06:00:00,Mouse,Computación,3668,2,7336,PayPal,Tucumán,Argentina,4,6,7,5,1,Recurrente,2
176,2023-01-08 07:00:00,Impresora,Computación,847,5,4235,Transferencia Bancaria,Córdoba,Argentina,27,68,12,14,4,VIP,5
177,2023-01-08 08:00:00,Tablet,Electrónica,4493,4,17972,Transferencia Bancaria,Neuquén,Argentina,0,90,4,15,2,VIP,2
178,2023-01-08 09:00:00,Tablet,Accesorios,322,5,1610,Transferencia Bancaria,La Plata,Argentina,10,40,11,2,3,Recurrente,4
179,2023-01-08 10:00:00,Laptop,Computación,3060,8,24480,Efectivo,Rosario,Argentina,10,9,14,6,2,Recurrente,1
180,2023-01-08 11:00:00,Tablet,Electrónica,4865,4,19460,Efectivo,Neuquén,Argentina,5,68,10,8,1,VIP,5
181,2023-01-08 12:00:00,Monitor,Electrónica,1823,9,16407,Transferencia Bancaria,Tucumán,Argentina,22,11,5,7,3,Nuevo,2
182,2023-01-08 13:00:00,Teclado,Electrónica,2597,7,18179,PayPal,Rosario,Argentina,7,74,6,16,5,Nuevo,1
183,2023-01-08 14:00:00,Impresora,Computación,3214,7,22498,Efectivo,La Plata,Argentina,30,26,4,16,3,VIP,2
184,2023-01-08 15:00:00,Tablet,Computación,4830,8,38640,Tarjeta de Crédito,Córdoba,Argentina,1,78,6,9,3,Nuevo,2
185,2023-01-08 16:00:00,Laptop,Accesorios,4767,6,28602,Efectivo,Rosario,Argentina,30,50,9,3,2,Nuevo,2
186,2023-01-08 17:00:00,Monitor,Computación,996,8,7968,Tarjeta de Crédito,Mendoza,Argentina,14,44,9,15,3,Recurrente,4
187,2023-01-08 18:00:00,Smartphone,Computación,2715,3,8145,Efectivo,Tucumán,Argentina,22,65,9,17,3,Nuevo,2
188,2023-01-08 19:00:00,Teclado,Electrónica,556,1,556,Transferencia Bancaria,La Plata,Argentina,21,50,7,11,1,VIP,1
189,2023-01-08 20:00:00,Teclado,Accesorios,293,6,1758,Efectivo,Córdoba,Argentina,8,88,2,16,2,Nuevo,2
190,2023-01-08 21:00:00,Impresora,Computación,555,1,555,Transferencia Bancaria,Mendoza,Argentina,14,32,12,5,1,Recurrente,3
191,2023-01-08 22:00:00,Teclado,Computación,4567,9,41103,Transferencia Bancaria,La Plata,Argentina,7,91,11,13,2,VIP,5
192,2023-01-08 23:00:00,Tablet,Electrónica,3208,2,6416,Efectivo,Neuquén,Argentina,29,39,13,11,5,VIP,4
193,2023-01-09 00:00:00,Laptop,Electrónica,3640,2,7280,Tarjeta de Crédito,Salta,Argentina,15,5,7,3,3,VIP,3
194,2023-01-09 01:00:00,Teclado,Computación,1922,7,13454,Tarjeta de Crédito,Córdoba,Argentina,26,33,13,5,2,Recurrente,3
195,2023-01-09 02:00:00,Teclado,Accesorios,3843,2,7686,Efectivo,Mendoza,Argentina,13,13,12,7,3,VIP,1
196,2023-01-09 03:00:00,Smartphone,Accesorios,1242,8,9936,Transferencia Bancaria,Rosario,Argentina,14,13,11,15,3,Recurrente,1
