Campo_ID,Provincia,Cultivo,Superficie_Cultivada_ha,Rendimiento_ton_ha,Fecha_Siembra,Fecha_Cosecha,Uso_Fertilizantes,Tipo_Suelo,Nivel_Humedad,Precipitaciones_mm,Temperatura_Media,Plagas_Detectadas,Costo_Producción,Ganancia_Estimada,Exportación
25,Santa Fe,Cebada,425,5.83,2023-01-02 00:00:00,2023-06-02 00:00:00,Sí,Arenoso,27.2,230,30.4,Sí,85299,166589,No
26,Buenos Aires,Soja,78,8.11,2023-01-02 01:00:00,2023-06-02 01:00:00,No,Arcilloso,11.1,236,18.1,No,34513,273486,No
27,Santa Fe,Algodón,23,2.09,2023-01-02 02:00:00,2023-06-02 02:00:00,No,Franco,31.7,95,18.5,No,6200,371904,Sí
28,Mendoza,Maíz,444,4.97,2023-01-02 03:00:00,2023-06-02 03:00:00,Sí,Franco,11.6,182,28.2,No,190899,174605,No
29,Entre Ríos,Maíz,483,3.7,2023-01-02 04:00:00,2023-06-02 04:00:00,Sí,Arenoso,13.0,120,19.9,No,125301,489462,No
30,Entre Ríos,Maíz,160,3.81,2023-01-02 05:00:00,2023-06-02 05:00:00,Sí,Arenoso,38.5,194,13.0,Sí,76370,449775,Sí
31,Buenos Aires,Maíz,183,8.01,2023-01-02 06:00:00,2023-06-02 06:00:00,Sí,Arenoso,8.7,249,34.9,Sí,194389,124078,No
32,Buenos Aires,Trigo,479,1.05,2023-01-02 07:00:00,2023-06-02 07:00:00,Sí,Arcilloso,22.5,110,23.6,No,85374,99022,Sí
33,Córdoba,Cebada,420,7.74,2023-01-02 08:00:00,2023-06-02 08:00:00,No,Arenoso,7.2,71,24.4,Sí,118261,119703,Sí
34,Entre Ríos,Maíz,354,8.29,2023-01-02 09:00:00,2023-06-02 09:00:00,No,Arenoso,8.2,51,24.4,Sí,38472,186639,No
35,Mendoza,Trigo,301,9.11,2023-01-02 10:00:00,2023-06-02 10:00:00,Sí,Arcilloso,27.2,154,31.5,No,107352,403895,Sí
36,Mendoza,Trigo,205,6.64,2023-01-02 11:00:00,2023-06-02 11:00:00,Sí,Franco,27.1,194,10.5,No,165383,49867,Sí
37,Mendoza,Cebada,41,4.0,2023-01-02 12:00:00,2023-06-02 12:00:00,Sí,Arcilloso,11.8,25,6.8,Sí,196069,482754,No
38,La Pampa,Girasol,82,4.85,2023-01-02 13:00:00,2023-06-02 13:00:00,Sí,Arenoso,35.5,226,16.6,Sí,64104,188052,No
39,Córdoba,Soja,203,9.73,2023-01-02 14:00:00,2023-06-02 14:00:00,Sí,Arenoso,29.6,208,21.9,No,158857,331950,Sí
40,Córdoba,Cebada,435,8.93,2023-01-02 15:00:00,2023-06-02 15:00:00,Sí,Franco,15.5,220,13.6,Sí,40219,261782,Sí
41,Buenos Aires,Girasol,59,5.17,2023-01-02 16:00:00,2023-06-02 16:00:00,Sí,Arcilloso,13.7,285,25.7,Sí,6247,378381,Sí
42,Córdoba,Algodón,66,9.49,2023-01-02 17:00:00,2023-06-02 17:00:00,Sí,Arenoso,31.4,252,7.2,No,185994,244412,No
43,Buenos Aires,Soja,496,8.41,2023-01-02 18:00:00,2023-06-02 18:00:00,No,Franco,30.7,101,28.7,Sí,89515,307006,Sí
44,Buenos Aires,Soja,126,9.11,2023-01-02 19:00:00,2023-06-02 19:00:00,Sí,Arenoso,10.2,264,26.5,No,74892,279453,No
45,La Pampa,Soja,201,7.15,2023-01-02 20:00:00,2023-06-02 20:00:00,No,Franco,17.2,175,11.4,Sí,102555,220712,No
46,Córdoba,Trigo,439,8.72,2023-01-02 21:00:00,2023-06-02 21:00:00,No,Arenoso,12.6,183,14.0,Sí,191114,412516,Sí
47,Córdoba,Maíz,226,9.03,2023-01-02 22:00:00,2023-06-02 22:00:00,Sí,Arenoso,15.3,192,29.2,Sí,181898,389310,No
48,La Pampa,Soja,120,1.83,2023-01-02 23:00:00,2023-06-02 23:00:00,Sí,Franco,15.1,194,28.2,Sí,172267,405356,Sí
49,La Pampa,Maíz,467,9.69,2023-01-03 00:00:00,2023-06-03 00:00:00,No,Franco,39.2,20,29.4,Sí,138445,226493,Sí
50,Córdoba,Soja,494,4.0,2023-01-03 01:00:00,2023-06-03 01:00:00,Sí,Arenoso,31.3,285,14.7,Sí,114542,414908,No
51,Córdoba,Trigo,98,4.96,2023-01-03 02:00:00,2023-06-03 02:00:00,Sí,Franco,32.3,56,34.1,Sí,146911,247726,Sí
52,Buenos Aires,Algodón,369,8.13,2023-01-03 03:00:00,2023-06-03 03:00:00,Sí,Arenoso,14.7,54,26.5,Sí,62215,277827,No
53,Santa Fe,Soja,319,6.98,2023-01-03 04:00:00,2023-06-03 04:00:00,No,Arenoso,5.0,1,7.0,Sí,90294,84622,No
54,Entre Ríos,Cebada,318,9.04,2023-01-03 05:00:00,2023-06-03 05:00:00,Sí,Arcilloso,7.0,21,19.3,Sí,167917,134675,Sí
55,Buenos Aires,Girasol,166,4.61,2023-01-03 06:00:00,2023-06-03 06:00:00,No,Arenoso,24.4,140,24.9,Sí,114860,194437,Sí
56,Mendoza,Soja,430,4.36,2023-01-03 07:00:00,2023-06-03 07:00:00,Sí,Arenoso,15.0,88,10.1,No,58861,188152,No
57,Mendoza,Girasol,78,1.29,2023-01-03 08:00:00,2023-06-03 08:00:00,Sí,Franco,11.8,298,32.1,No,98546,263485,No
58,Santa Fe,Girasol,279,5.16,2023-01-03 09:00:00,2023-06-03 09:00:00,No,Arcilloso,6.7,74,27.6,Sí,153524,210860,Sí
59,Entre Ríos,Trigo,234,7.52,2023-01-03 10:00:00,2023-06-03 10:00:00,No,Franco,35.7,73,7.4,No,85329,472256,No
60,La Pampa,Algodón,420,3.71,2023-01-03 11:00:00,2023-06-03 11:00:00,No,Franco,26.0,235,32.4,Sí,46481,410576,No
61,Mendoza,Girasol,14,5.16,2023-01-03 12:00:00,2023-06-03 12:00:00,Sí,Arenoso,8.8,164,17.1,Sí,146543,21871,No
62,La Pampa,Trigo,252,2.97,2023-01-03 13:00:00,2023-06-03 13:00:00,Sí,Arenoso,31.8,216,18.6,Sí,158320,108560,Sí
63,La Pampa,Algodón,127,7.96,2023-01-03 14:00:00,2023-06-03 14:00:00,No,Arenoso,31.5,290,28.5,Sí,43366,11859,No
64,Buenos Aires,Soja,181,1.54,2023-01-03 15:00:00,2023-06-03 15:00:00,No,Franco,15.1,18,24.3,No,129842,192270,Sí
65,La Pampa,Maíz,152,7.35,2023-01-03 16:00:00,2023-06-03 16:00:00,Sí,Franco,11.6,283,18.1,Sí,59614,381155,Sí
66,Santa Fe,Trigo,332,4.41,2023-01-03 17:00:00,2023-06-03 17:00:00,Sí,Arenoso,33.5,187,12.8,No,154771,29130,Sí
67,Buenos Aires,Girasol,266,1.37,2023-01-03 18:00:00,2023-06-03 18:00:00,Sí,Franco,16.5,137,20.5,Sí,46708,17399,No
68,Santa Fe,Girasol,417,8.68,2023-01-03 19:00:00,2023-06-03 19:00:00,Sí,Arcilloso,34.7,279,22.4,Sí,161539,242189,No
69,La Pampa,Soja,469,5.39,2023-01-03 20:00:00,2023-06-03 20:00:00,Sí,Arcilloso,6.5,201,23.9,Sí,180404,247988,No
70,Mendoza,Trigo,374,6.39,2023-01-03 21:00:00,2023-06-03 21:00:00,No,Arcilloso,22.5,157,23.2,Sí,21256,336733,Sí
71,Entre Ríos,Soja,327,7.59,2023-01-03 22:00:00,2023-06-03 22:00:00,Sí,Franco,11.3,232,23.5,Sí,179745,473225,No
72,La Pampa,Trigo,87,6.9,2023-01-03 23:00:00,2023-06-03 23:00:00,Sí,Arcilloso,28.5,114,19.3,No,81117,95683,Sí
73,Santa Fe,Maíz,66,7.58,2023-01-04 00:00:00,2023-06-04 00:00:00,Sí,Arenoso,39.9,224,21.9,No,181234,56327,No
74,Córdoba,Cebada,499,7.86,2023-01-04 01:00:00,2023-06-04 01:00:00,No,Arenoso,19.4,44,13.7,No,132134,368774,No
75,Córdoba,Soja,29,6.3,2023-01-04 02:00:00,2023-06-04 02:00:00,No,Arenoso,8.5,216,9.8,No,155881,317021,Sí
76,Mendoza,Girasol,451,4.29,2023-01-04 03:00:00,2023-06-04 03:00:00,Sí,Arcilloso,16.1,117,23.2,No,114002,50693,No
77,Entre Ríos,Soja,23,3.19,2023-01-04 04:00:00,2023-06-04 04:00:00,Sí,Arcilloso,36.2,280,6.4,No,37643,317711,Sí
78,Santa Fe,Trigo,215,9.13,2023-01-04 05:00:00,2023-06-04 05:00:00,No,Franco,31.8,101,7.0,Sí,60367,225681,No
79,Mendoza,Soja,246,9.73,2023-01-04 06:00:00,2023-06-04 06:00:00,Sí,Arenoso,13.1,131,12.4,No,138752,273188,Sí
80,Buenos Aires,Maíz,190,4.22,2023-01-04 07:00:00,2023-06-04 07:00:00,No,Franco,38.4,211,10.8,Sí,192563,145964,No
81,La Pampa,Trigo,300,2.01,2023-01-04 08:00:00,2023-06-04 08:00:00,No,Arcilloso,26.8,201,16.2,No,97888,330587,No
82,Buenos Aires,Algodón,455,3.0,2023-01-04 09:00:00,2023-06-04 09:00:00,No,Franco,10.9,286,16.1,No,26086,203873,Sí
83,Córdoba,Girasol,198,7.04,2023-01-04 10:00:00,2023-06-04 10:00:00,Sí,Arenoso,25.0,146,8.5,Sí,57400,336053,No
84,La Pampa,Girasol,156,2.56,2023-01-04 11:00:00,2023-06-04 11:00:00,No,Franco,20.8,257,12.4,No,65739,182008,Sí
85,Buenos Aires,Trigo,349,8.02,2023-01-04 12:00:00,2023-06-04 12:00:00,Sí,Franco,33.7,259,5.1,Sí,162027,427439,No
86,Córdoba,Algodón,51,9.31,2023-01-04 13:00:00,2023-06-04 13:00:00,No,Arcilloso,17.0,293,15.5,Sí,9038,327096,Sí
87,Entre Ríos,Maíz,437,9.67,2023-01-04 14:00:00,2023-06-04 14:00:00,No,Arcilloso,35.6,32,28.9,Sí,194566,461349,No
88,Buenos Aires,Soja,480,1.08,2023-01-04 15:00:00,2023-06-04 15:00:00,No,Arcilloso,33.4,17,13.0,No,80145,84211,No
89,La Pampa,Cebada,363,9.62,2023-01-04 16:00:00,2023-06-04 16:00:00,No,Arcilloso,28.6,159,24.3,No,70795,467129,No
90,Buenos Aires,Girasol,10,7.66,2023-01-04 17:00:00,2023-06-04 17:00:00,No,Arenoso,14.1,114,7.9,Sí,21660,319387,No
91,La Pampa,Maíz,333,1.76,2023-01-04 18:00:00,2023-06-04 18:00:00,Sí,Arenoso,39.0,207,5.4,Sí,177841,382024,No
92,Buenos Aires,Maíz,113,4.74,2023-01-04 19:00:00,2023-06-04 19:00:00,No,Franco,24.2,160,20.0,No,91611,334052,No
93,Mendoza,Maíz,264,7.3,2023-01-04 20:00:00,2023-06-04 20:00:00,No,Arenoso,36.8,289,18.8,Sí,176379,20759,Sí
94,Entre Ríos,Soja,218,9.61,2023-01-04 21:00:00,2023-06-04 21:00:00,Sí,Franco,12.6,46,10.7,Sí,130061,37803,No
95,Buenos Aires,Maíz,227,2.48,2023-01-04 22:00:00,2023-06-04 22:00:00,Sí,Arcilloso,39.4,51,13.6,No,41094,98888,No
96,Buenos Aires,Maíz,87,2.15,2023-01-04 23:00:00,2023-06-04 23:00:00,No,Franco,33.6,51,5.9,No,35218,289732,No
97,Mendoza,Trigo,439,5.25,2023-01-05 00:00:00,2023-06-05 00:00:00,Sí,Franco,38.2,170,28.9,No,117337,124389,Sí
98,Córdoba,Trigo,60,9.71,2023-01-05 01:00:00,2023-06-05 01:00:00,No,Arenoso,12.4,105,14.0,Sí,155390,386819,No
99,La Pampa,Maíz,297,9.74,2023-01-05 02:00:00,2023-06-05 02:00:00,No,Franco,20.1,97,11.6,No,172198,231135,Sí
100,Santa Fe,Maíz,109,3.05,2023-01-05 03:00:00,2023-06-05 03:00:00,No,Arenoso,8.4,208,29.1,Sí,197158,153563,Sí
101,Córdoba,Trigo,221,3.87,2023-01-05 04:00:00,2023-06-05 04:00:00,Sí,Franco,9.8,130,6.2,No,132146,129536,Sí
102,La Pampa,Soja,473,9.17,2023-01-05 05:00:00,2023-06-05 05:00:00,No,Arenoso,14.9,221,13.5,Sí,197758,132384,Sí
103,Buenos Aires,Trigo,412,7.61,2023-01-05 06:00:00,2023-06-05 06:00:00,Sí,Arcilloso,38.3,222,12.9,No,52144,482340,Sí
104,Córdoba,Trigo,246,9.75,2023-01-05 07:00:00,2023-06-05 07:00:00,No,Arenoso,28.4,126,12.9,Sí,89079,346434,No
105,Buenos Aires,Trigo,304,9.04,2023-01-05 08:00:00,2023-06-05 08:00:00,No,Arcilloso,16.0,125,5.3,No,19192,410262,No
106,Córdoba,Trigo,481,2.94,2023-01-05 09:00:00,2023-06-05 09:00:00,Sí,Arenoso,38.4,129,33.0,Sí,197972,95948,Sí
107,Córdoba,Cebada,407,7.84,2023-01-05 10:00:00,2023-06-05 10:00:00,No,Arcilloso,30.9,195,30.9,Sí,66347,106979,No
108,Santa Fe,Girasol,166,1.44,2023-01-05 11:00:00,2023-06-05 11:00:00,No,Arcilloso,36.7,43,17.4,No,8276,13043,No
109,Mendoza,Soja,307,8.36,2023-01-05 12:00:00,2023-06-05 12:00:00,Sí,Arenoso,37.5,293,18.4,No,135731,447235,No
110,Córdoba,Algodón,23,6.41,2023-01-05 13:00:00,2023-06-05 13:00:00,Sí,Arcilloso,31.3,187,20.7,Sí,183814,382277,No
111,Buenos Aires,Soja,125,9.6,2023-01-05 14:00:00,2023-06-05 14:00:00,No,Franco,13.5,243,19.3,No,103764,432312,No
112,Santa Fe,Maíz,148,9.64,2023-01-05 15:00:00,2023-06-05 15:00:00,No,Franco,39.9,90,28.4,Sí,125281,355915,Sí
113,Córdoba,Cebada,84,1.46,2023-01-05 16:00:00,2023-06-05 16:00:00,Sí,Arcilloso,16.4,14,19.7,Sí,58957,478523,Sí
114,Mendoza,Maíz,312,2.44,2023-01-05 17:00:00,2023-06-05 17:00:00,No,Arcilloso,28.5,181,10.7,Sí,9139,322652,Sí
115,Buenos Aires,Soja,369,5.36,2023-01-05 18:00:00,2023-06-05 18:00:00,No,Arcilloso,34.6,61,8.5,Sí,150148,280056,Sí
116,Santa Fe,Soja,33,8.92,2023-01-05 19:00:00,2023-06-05 19:00:00,Sí,Arenoso,11.1,77,32.5,No,127528,172844,No
117,La Pampa,Algodón,415,8.33,2023-01-05 20:00:00,2023-06-05 20:00:00,Sí,Franco,26.3,273,6.5,Sí,88278,302522,No
118,Entre Ríos,Algodón,186,9.68,2023-01-05 21:00:00,2023-06-05 21:00:00,No,Arcilloso,18.1,250,31.9,No,33002,21172,Sí
119,Mendoza,Maíz,448,6.56,2023-01-05 22:00:00,2023-06-05 22:00:00,Sí,Arcilloso,13.6,70,25.7,Sí,108771,399180,Sí
120,La Pampa,Girasol,64,3.31,2023-01-05 23:00:00,2023-06-05 23:00:00,Sí,Arenoso,5.4,23,17.1,Sí,69873,276170,No
121,La Pampa,Maíz,222,1.23,2023-01-06 00:00:00,2023-06-06 00:00:00,Sí,Franco,35.5,293,10.6,Sí,147725,496460,Sí
122,Santa Fe,Girasol,335,3.01,2023-01-06 01:00:00,2023-06-06 01:00:00,No,Arcilloso,9.8,133,14.3,No,41324,428631,No
123,Santa Fe,Girasol,343,7.08,2023-01-06 02:00:00,2023-06-06 02:00:00,No,Franco,35.7,245,20.9,No,135677,158499,Sí
124,Santa Fe,Trigo,338,9.34,2023-01-06 03:00:00,2023-06-06 03:00:00,Sí,Arenoso,26.0,201,24.7,Sí,150191,326331,No
125,La Pampa,Soja,172,3.89,2023-01-06 04:00:00,2023-06-06 04:00:00,Sí,Franco,26.7,21,25.7,Sí,145549,169799,No
126,Entre Ríos,Trigo,309,8.88,2023-01-06 05:00:00,2023-06-06 05:00:00,No,Arcilloso,34.0,160,18.4,Sí,164818,125375,Sí
127,Buenos Aires,Soja,173,4.55,2023-01-06 06:00:00,2023-06-06 06:00:00,No,Arcilloso,22.8,214,16.2,Sí,162197,179289,Sí
128,Santa Fe,Trigo,98,3.77,2023-01-06 07:00:00,2023-06-06 07:00:00,No,Franco,17.5,45,28.0,Sí,144220,346782,No
129,Mendoza,Girasol,24,5.58,2023-01-06 08:00:00,2023-06-06 08:00:00,No,Arenoso,9.9,104,32.8,No,166658,41480,Sí
130,Santa Fe,Trigo,310,4.98,2023-01-06 09:00:00,2023-06-06 09:00:00,Sí,Arenoso,25.0,169,32.4,Sí,116059,378843,Sí
131,Entre Ríos,Cebada,131,9.22,2023-01-06 10:00:00,2023-06-06 10:00:00,Sí,Arenoso,24.4,84,21.5,No,62348,199879,No
132,Santa Fe,Trigo,327,5.21,2023-01-06 11:00:00,2023-06-06 11:00:00,No,Arenoso,15.3,76,7.4,No,120898,211911,Sí
133,Entre Ríos,Algodón,357,3.5,2023-01-06 12:00:00,2023-06-06 12:00:00,No,Arcilloso,26.0,41,7.2,Sí,49509,29501,Sí
134,Santa Fe,Algodón,187,8.58,2023-01-06 13:00:00,2023-06-06 13:00:00,Sí,Franco,20.4,12,17.1,No,18801,260296,No
135,La Pampa,Trigo,471,9.99,2023-01-06 14:00:00,2023-06-06 14:00:00,No,Arcilloso,33.2,290,27.0,Sí,32946,351036,Sí
136,Entre Ríos,Trigo,278,6.83,2023-01-06 15:00:00,2023-06-06 15:00:00,No,Franco,24.6,8,19.9,Sí,177980,140511,No
137,Buenos Aires,Cebada,114,3.25,2023-01-06 16:00:00,2023-06-06 16:00:00,Sí,Franco,37.7,12,23.8,No,60546,258361,No
138,Santa Fe,Soja,168,3.15,2023-01-06 17:00:00,2023-06-06 17:00:00,Sí,Arenoso,23.1,21,30.3,No,50722,87245,No
139,La Pampa,Trigo,14,1.52,2023-01-06 18:00:00,2023-06-06 18:00:00,No,Arenoso,36.1,39,6.2,Sí,176383,143127,No
140,Mendoza,Soja,348,1.7,2023-01-06 19:00:00,2023-06-06 19:00:00,No,Franco,23.2,126,32.7,Sí,184396,71267,No
141,Buenos Aires,Algodón,401,9.23,2023-01-06 20:00:00,2023-06-06 20:00:00,No,Franco,24.5,168,14.9,Sí,118199,173853,Sí
142,La Pampa,Maíz,150,1.87,2023-01-06 21:00:00,2023-06-06 21:00:00,Sí,Franco,17.8,262,6.4,No,111487,59945,No
143,Entre Ríos,Girasol,178,5.36,2023-01-06 22:00:00,2023-06-06 22:00:00,No,Arcilloso,19.0,221,30.1,No,172374,12149,Sí
144,Córdoba,Maíz,26,7.28,2023-01-06 23:00:00,2023-06-06 23:00:00,Sí,Franco,37.7,222,33.0,Sí,104950,383236,No
145,Mendoza,Cebada,41,8.65,2023-01-07 00:00:00,2023-06-07 00:00:00,No,Arcilloso,12.8,120,28.1,No,113872,285752,No
146,Mendoza,Cebada,14,2.54,2023-01-07 01:00:00,2023-06-07 01:00:00,No,Franco,9.3,221,29.1,No,150262,103932,No
147,Córdoba,Soja,391,4.94,2023-01-07 02:00:00,2023-06-07 02:00:00,Sí,Arenoso,34.1,78,31.1,Sí,120480,475598,Sí
148,La Pampa,Soja,146,3.26,2023-01-07 03:00:00,2023-06-07 03:00:00,Sí,Franco,25.2,98,20.7,Sí,157711,273948,No
149,La Pampa,Trigo,116,3.3,2023-01-07 04:00:00,2023-06-07 04:00:00,No,Franco,15.0,234,25.4,Sí,63957,22641,Sí
150,Entre Ríos,Maíz,171,3.73,2023-01-07 05:00:00,2023-06-07 05:00:00,Sí,Arcilloso,20.1,185,13.6,Sí,106094,129765,Sí
151,Mendoza,Soja,266,6.28,2023-01-07 06:00:00,2023-06-07 06:00:00,No,Franco,23.4,278,12.5,Sí,91782,257788,No
152,La Pampa,Algodón,177,1.15,2023-01-07 07:00:00,2023-06-07 07:00:00,Sí,Arcilloso,25.7,180,23.3,No,126310,154857,Sí
153,Córdoba,Soja,472,4.68,2023-01-07 08:00:00,2023-06-07 08:00:00,Sí,Arcilloso,33.7,292,27.0,Sí,198596,495345,No
154,La Pampa,Algodón,447,2.68,2023-01-07 09:00:00,2023-06-07 09:00:00,No,Arenoso,18.8,275,16.9,No,13278,489674,Sí
155,Mendoza,Soja,391,9.7,2023-01-07 10:00:00,2023-06-07 10:00:00,Sí,Arenoso,28.7,235,17.0,Sí,72563,170046,No
156,La Pampa,Girasol,297,6.24,2023-01-07 11:00:00,2023-06-07 11:00:00,No,Arenoso,34.2,145,33.6,Sí,160136,70631,No
157,Buenos Aires,Soja,391,8.81,2023-01-07 12:00:00,2023-06-07 12:00:00,Sí,Arenoso,34.5,67,20.6,Sí,34854,76295,Sí
158,Córdoba,Girasol,491,2.76,2023-01-07 13:00:00,2023-06-07 13:00:00,Sí,Arcilloso,13.9,175,34.6,Sí,72982,341540,No
159,Córdoba,Cebada,364,8.29,2023-01-07 14:00:00,2023-06-07 14:00:00,No,Franco,17.3,19,30.9,Sí,27085,132206,No
160,Santa Fe,Trigo,254,4.73,2023-01-07 15:00:00,2023-06-07 15:00:00,No,Arcilloso,25.8,71,24.2,No,118101,418075,Sí
161,La Pampa,Maíz,122,2.6,2023-01-07 16:00:00,2023-06-07 16:00:00,Sí,Arenoso,36.0,104,5.3,Sí,60659,290169,No
162,Entre Ríos,Soja,187,7.85,2023-01-07 17:00:00,2023-06-07 17:00:00,No,Franco,32.7,6,13.9,No,119768,99111,No
163,Córdoba,Girasol,452,7.86,2023-01-07 18:00:00,2023-06-07 18:00:00,No,Arcilloso,25.4,52,17.5,Sí,81489,323108,No
164,La Pampa,Soja,485,9.96,2023-01-07 19:00:00,2023-06-07 19:00:00,No,Franco,39.4,266,24.6,No,80868,137491,No
165,Buenos Aires,Soja,474,8.03,2023-01-07 20:00:00,2023-06-07 20:00:00,No,Arcilloso,20.4,203,16.9,Sí,114417,323112,No
166,Mendoza,Girasol,199,2.31,2023-01-07 21:00:00,2023-06-07 21:00:00,Sí,Franco,34.5,31,29.8,No,95183,302871,No
167,Mendoza,Soja,20,3.9,2023-01-07 22:00:00,2023-06-07 22:00:00,No,Franco,33.6,190,24.9,Sí,56706,55731,Sí
168,Santa Fe,Maíz,32,5.07,2023-01-07 23:00:00,2023-06-07 23:00:00,Sí,Arenoso,36.8,182,15.4,Sí,129561,93745,No
169,Santa Fe,Algodón,128,2.14,2023-01-08 00:00:00,2023-06-08 00:00:00,No,Arenoso,39.6,186,28.5,Sí,26932,308097,Sí
170,Entre Ríos,Algodón,291,8.09,2023-01-08 01:00:00,2023-06-08 01:00:00,No,Franco,22.3,153,14.1,No,135707,338241,Sí
171,Córdoba,Algodón,328,5.74,2023-01-08 02:00:00,2023-06-08 02:00:00,No,Franco,11.8,50,6.9,Sí,71255,337917,No
172,Entre Ríos,Algodón,439,9.5,2023-01-08 03:00:00,2023-06-08 03:00:00,No,Arenoso,21.1,288,10.2,Sí,113122,81514,No
173,Córdoba,Cebada,78,6.3,2023-01-08 04:00:00,2023-06-08 04:00:00,Sí,Arcilloso,34.9,25,5.1,Sí,167189,21325,No
174,Córdoba,Trigo,355,5.71,2023-01-08 05:00:00,2023-06-08 05:00:00,No,Franco,34.3,277,30.0,Sí,97619,56206,No
175,Buenos Aires,Soja,143,1.64,2023-01-08 06:00:00,2023-06-08 06:00:00,No,Arcilloso,16.8,209,23.8,No,44532,385516,Sí
176,Santa Fe,Girasol,262,2.34,2023-01-08 07:00:00,2023-06-08 07:00:00,Sí,Arenoso,6.7,252,22.1,Sí,41122,261593,Sí
177,Santa Fe,Maíz,60,8.65,2023-01-08 08:00:00,2023-06-08 08:00:00,No,Franco,22.8,190,24.9,Sí,32599,33851,Sí
178,Mendoza,Soja,52,9.92,2023-01-08 09:00:00,2023-06-08 09:00:00,No,Arcilloso,21.6,144,24.6,Sí,197608,77743,No
179,Santa Fe,Cebada,491,4.74,2023-01-08 10:00:00,2023-06-08 10:00:00,No,Arenoso,8.0,40,22.0,No,85343,337175,Sí
